Timestamp,ID,Weight (g)
00:01.3,1,0
00:01.4,2,0
00:01.5,3,0
00:01.6,4,0
00:01.7,5,0
00:01.8,6,0
00:01.9,7,0
00:02.0,8,0
00:02.1,9,0
00:02.2,10,0
00:02.3,11,0
00:02.4,12,0
00:02.5,13,0
00:02.6,14,0
00:02.7,15,0
00:02.8,16,0
00:02.9,17,0
00:03.0,18,0
00:03.1,19,0
00:03.2,20,0
00:03.3,21,0
00:03.4,22,0
00:03.5,23,0
00:03.6,24,0
00:03.7,25,0
00:03.8,26,0
00:03.9,27,0
00:04.0,28,0
00:04.1,29,0.002
00:04.2,30,0.006
00:04.3,31,0.01
00:04.4,32,0.013
00:04.5,33,0.016
00:04.6,34,0.019
00:04.7,35,0.022
00:04.8,36,0.025
00:04.9,37,0.028
00:05.0,38,0.03
00:05.1,39,0.033
00:05.2,40,0.039
00:05.3,41,0.041
00:05.4,42,0.044
00:05.5,43,0.048
00:05.6,44,0.052
00:05.7,45,0.055
00:05.8,46,0.058
00:05.9,47,0.063
00:06.0,48,0.067
00:06.1,49,0.071
00:06.2,50,0.075
00:06.3,51,0.078
00:06.4,52,0.081
00:06.5,53,0.091
00:06.6,54,0.096
00:06.7,55,0.1
00:06.8,56,0.105
00:06.9,57,0.109
00:07.0,58,0.114
00:07.1,59,0.118
00:07.2,60,0.122
00:07.3,61,0.126
00:07.4,62,0.13
00:07.5,63,0.135
00:07.6,64,0.14
00:07.7,65,0.145
00:07.8,66,0.153
00:07.9,67,0.156
00:08.0,68,0.16
00:08.1,69,0.163
00:08.2,70,0.167
00:08.3,71,0.171
00:08.4,72,0.175
00:08.5,73,0.177
00:08.6,74,0.18
00:08.7,75,0.184
00:08.8,76,0.188
00:08.9,77,0.192
00:09.0,78,0.196
00:09.1,79,0.204
00:09.2,80,0.209
00:09.3,81,0.214
00:09.4,82,0.218
00:09.5,83,0.222
00:09.6,84,0.226
00:09.7,85,0.229
00:09.8,86,0.232
00:09.9,87,0.234
00:10.0,88,0.235
00:10.1,89,0.235
00:10.2,90,0.235
00:10.3,91,0.235
00:10.4,92,0.235
00:10.5,93,0.235
00:10.6,94,0.235
00:10.7,95,0.235
00:10.8,96,0.235
00:10.9,97,0.235
00:11.0,98,0.235
00:11.1,99,0.235
00:11.2,100,0.235
00:11.3,101,0.235
00:11.4,102,0.235
00:11.5,103,0.235
00:11.6,104,0.235
00:11.7,105,0.235
00:11.8,106,0.235
00:11.9,107,0.235
00:12.0,108,0.235
00:12.1,109,0.235
00:12.2,110,0.235
00:12.3,111,0.235
00:12.4,112,0.235
00:12.5,113,0.235
00:12.6,114,0.235
00:12.7,115,0.235
00:12.8,116,0.235
00:12.9,117,0.235
00:13.0,118,0.235
00:13.1,119,0.235
00:13.2,120,0.235
00:13.3,121,0.235
00:13.4,122,0.235
00:13.5,123,0.235
00:13.6,124,0.235
00:13.7,125,0.235
00:13.8,126,0.235
00:13.9,127,0.235
00:14.0,128,0.235
00:14.1,129,0.235
00:14.2,130,0.235
00:14.3,131,0.235
00:14.4,132,0.235
00:14.5,133,0.235
00:14.6,134,0.235
00:14.7,135,0.235
00:14.8,136,0.235
00:14.9,137,0.235
00:15.0,138,0.235
00:15.1,139,0.235
00:15.2,140,0.235
00:15.3,141,0.235
00:15.4,142,0.235
00:15.5,143,0.235
00:15.6,144,0.235
00:15.7,145,0.235
00:15.8,146,0.235
00:15.9,147,0.235
00:16.0,148,0.235
00:16.1,149,0.235
00:16.2,150,0.235
00:16.3,151,0.235
00:16.4,152,0.235
00:16.5,153,0.235
00:16.6,154,0.235
00:16.7,155,0.235
00:16.8,156,0.235
00:16.9,157,0.235
00:17.0,158,0.235
00:17.1,159,0.235
00:17.2,160,0.235
00:17.3,161,0.235
00:17.4,162,0.235
00:17.5,163,0.235
00:17.6,164,0.235
00:17.7,165,0.235
00:17.8,166,0.235
00:17.9,167,0.235
00:18.0,168,0.235
00:18.1,169,0.235
00:18.2,170,0.236
00:18.3,171,0.236
00:18.4,172,0.236
00:18.5,173,0.236
00:18.6,174,0.236
00:18.7,175,0.236
00:18.8,176,0.236
00:18.9,177,0.236
00:19.0,178,0.235
00:19.1,179,0.234
00:19.2,180,0.233
00:19.3,181,0.231
00:19.4,182,0.228
00:19.5,183,0.223
00:19.6,184,0.221
00:19.7,185,0.218
00:19.8,186,0.216
00:19.9,187,0.214
00:20.0,188,0.212
00:20.1,189,0.21
00:20.2,190,0.208
00:20.3,191,0.207
00:20.4,192,0.206
00:20.5,193,0.205
00:20.6,194,0.204
00:20.7,195,0.204
00:20.8,196,0.204
00:20.9,197,0.204
00:21.0,198,0.204
00:21.1,199,0.204
00:21.2,200,0.204
00:21.3,201,0.204
00:21.4,202,0.204
00:21.5,203,0.204
00:21.6,204,0.204
00:21.7,205,0.203
00:21.8,206,0.203
00:21.9,207,0.202
00:22.0,208,0.201
00:22.1,209,0.199
00:22.2,210,0.198
00:22.3,211,0.197
00:22.4,212,0.195
00:22.5,213,0.194
00:22.6,214,0.193
00:22.7,215,0.191
00:22.8,216,0.19
00:22.9,217,0.188
00:23.0,218,0.186
00:23.1,219,0.184
00:23.2,220,0.183
00:23.3,221,0.181
00:23.4,222,0.177
00:23.5,223,0.176
00:23.6,224,0.174
00:23.7,225,0.173
00:23.8,226,0.171
00:23.9,227,0.169
00:24.0,228,0.168
00:24.1,229,0.166
00:24.2,230,0.165
00:24.3,231,0.164
00:24.4,232,0.163
00:24.5,233,0.161
00:24.6,234,0.16
00:24.7,235,0.158
00:24.8,236,0.157
00:24.9,237,0.156
00:25.0,238,0.155
00:25.1,239,0.155
00:25.2,240,0.155
00:25.3,241,0.154
00:25.4,242,0.154
00:25.5,243,0.154
00:25.6,244,0.155
00:25.7,245,0.156
00:25.8,246,0.157
00:25.9,247,0.158
00:26.0,248,0.157
00:26.1,249,0.157
00:26.2,250,0.157
00:26.3,251,0.157
00:26.4,252,0.157
00:26.5,253,0.157
00:26.6,254,0.157
00:26.7,255,0.157
00:26.8,256,0.157
00:26.9,257,0.157
00:27.0,258,0.157
00:27.1,259,0.157
00:27.2,260,0.157
00:27.3,261,0.158
00:27.4,262,0.158
00:27.5,263,0.158
00:27.6,264,0.158
00:27.7,265,0.157
00:27.8,266,0.157
00:27.9,267,0.157
00:28.0,268,0.157
00:28.1,269,0.158
00:28.2,270,0.158
00:28.3,271,0.157
00:28.4,272,0.157
00:28.5,273,0.157
00:28.6,274,0.157
00:28.7,275,0.157
00:28.8,276,0.157
00:28.9,277,0.157
00:29.0,278,0.157
00:29.1,279,0.157
00:29.2,280,0.157
00:29.3,281,0.157
00:29.4,282,0.157
00:29.5,283,0.157
00:29.6,284,0.157
00:29.7,285,0.157
00:29.8,286,0.157
00:29.9,287,0.157
00:30.0,288,0.158
00:30.1,289,0.158
00:30.2,290,0.158
00:30.3,291,0.158
00:30.4,292,0.158
00:30.5,293,0.158
00:30.6,294,0.158
00:30.7,295,0.158
00:30.8,296,0.158
00:30.9,297,0.158
00:31.0,298,0.157
00:31.1,299,0.156
00:31.2,300,0.153
00:31.3,301,0.15
00:31.4,302,0.148
00:31.5,303,0.144
00:31.6,304,0.141
00:31.7,305,0.138
00:31.8,306,0.135
00:31.9,307,0.132
00:32.0,308,0.131
00:32.1,309,0.129
00:32.2,310,0.128
00:32.3,311,0.127
00:32.4,312,0.125
00:32.5,313,0.12
00:32.6,314,0.116
00:32.7,315,0.113
00:32.8,316,0.11
00:32.9,317,0.107
00:33.0,318,0.104
00:33.1,319,0.101
00:33.2,320,0.099
00:33.3,321,0.096
00:33.4,322,0.093
00:33.5,323,0.09
00:33.6,324,0.087
00:33.7,325,0.085
00:33.8,326,0.08
00:33.9,327,0.079
00:34.0,328,0.078
00:34.1,329,0.079
00:34.2,330,0.08
00:34.3,331,0.083
00:34.4,332,0.083
00:34.5,333,0.082
00:34.6,334,0.082
00:34.7,335,0.082
00:34.8,336,0.082
00:34.9,337,0.082
00:35.0,338,0.082
00:35.1,339,0.082
00:35.2,340,0.082
00:35.3,341,0.082
00:35.4,342,0.082
00:35.5,343,0.082
00:35.6,344,0.082
00:35.7,345,0.082
00:35.8,346,0.082
00:35.9,347,0.082
00:36.0,348,0.082
00:36.1,349,0.082
00:36.2,350,0.082
00:36.3,351,0.082
00:36.4,352,0.082
00:36.5,353,0.082
00:36.6,354,0.082
00:36.7,355,0.082
00:36.8,356,0.082
00:36.9,357,0.082
00:37.0,358,0.082
00:37.1,359,0.082
00:37.2,360,0.082
00:37.3,361,0.082
00:37.4,362,0.082
00:37.5,363,0.082
00:37.6,364,0.082
00:37.7,365,0.082
00:37.8,366,0.082
00:37.9,367,0.082
00:38.0,368,0.082
00:38.1,369,0.082
00:38.2,370,0.082
00:38.3,371,0.082
00:38.4,372,0.082
00:38.5,373,0.082
00:38.6,374,0.082
00:38.7,375,0.082
00:38.8,376,0.082
00:38.9,377,0.082
00:39.0,378,0.082
00:39.1,379,0.082
00:39.2,380,0.082
00:39.3,381,0.082
00:39.4,382,0.082
00:39.5,383,0.082
00:39.6,384,0.082
00:39.7,385,0.082
00:39.8,386,0.082
00:39.9,387,0.082
00:40.0,388,0.082
00:40.1,389,0.082
00:40.2,390,0.081
00:40.3,391,0.078
00:40.4,392,0.077
00:40.5,393,0.075
00:40.6,394,0.072
00:40.7,395,0.07
00:40.8,396,0.068
00:40.9,397,0.066
00:41.0,398,0.065
00:41.1,399,0.063
00:41.2,400,0.061
00:41.3,401,0.059
00:41.4,402,0.058
00:41.5,403,0.057
00:41.6,404,0.054
00:41.7,405,0.052
00:41.8,406,0.05
00:41.9,407,0.048
00:42.0,408,0.047
00:42.1,409,0.047
00:42.2,410,0.046
00:42.3,411,0.046
00:42.4,412,0.046
00:42.5,413,0.046
00:42.6,414,0.046
00:42.7,415,0.047
00:42.8,416,0.047
00:42.9,417,0.047
00:43.0,418,0.047
00:43.1,419,0.047
00:43.2,420,0.047
00:43.3,421,0.047
00:43.4,422,0.047
00:43.5,423,0.047
00:43.6,424,0.047
00:43.7,425,0.047
00:43.8,426,0.047
00:43.9,427,0.047
00:44.0,428,0.047
00:44.1,429,0.047
00:44.2,430,0.047
00:44.3,431,0.047
00:44.4,432,0.047
00:44.5,433,0.047
00:44.6,434,0.047
00:44.7,435,0.047
00:44.8,436,0.047
00:44.9,437,0.047
00:45.0,438,0.047
00:45.1,439,0.047
00:45.2,440,0.047
00:45.3,441,0.047
00:45.4,442,0.047
00:45.5,443,0.047
00:45.6,444,0.047
00:45.7,445,0.046
00:45.8,446,0.046
00:45.9,447,0.045
00:46.0,448,0.045
00:46.1,449,0.044
00:46.2,450,0.043
00:46.3,451,0.042
00:46.4,452,0.041
00:46.5,453,0.04
00:46.6,454,0.039
00:46.7,455,0.039
00:46.8,456,0.037
00:46.9,457,0.036
00:47.0,458,0.034
00:47.1,459,0.033
00:47.2,460,0.033
00:47.3,461,0.032
00:47.4,462,0.031
00:47.5,463,0.03
00:47.6,464,0.029
00:47.7,465,0.029
00:47.8,466,0.028
00:47.9,467,0.027
00:48.0,468,0.026
00:48.1,469,0.024
00:48.2,470,0.023
00:48.3,471,0.022
00:48.4,472,0.021
00:48.5,473,0.019
00:48.6,474,0.017
00:48.7,475,0.016
00:48.8,476,0.014
00:48.9,477,0.013
00:49.0,478,0.011
00:49.1,479,0.01
00:49.2,480,0.009
00:49.3,481,0.008
00:49.4,482,0.008
00:49.5,483,0.008
00:49.6,484,0.008
00:49.7,485,0.008
00:49.8,486,0.008
00:49.9,487,0.008
00:50.0,488,0.008
00:50.1,489,0.008
00:50.2,490,0.008
00:50.3,491,0.008
00:50.4,492,0.008
00:50.5,493,0.008
00:50.6,494,0.008
00:50.7,495,0.008
00:50.8,496,0.008
00:50.9,497,0.008
00:51.0,498,0.008
00:51.1,499,0.008
00:51.2,500,0.008
00:51.3,501,0.008
00:51.4,502,0.008
00:51.5,503,0.008
00:51.6,504,0.008
00:51.7,505,0.008
00:51.8,506,0.008
00:51.9,507,0.008
00:52.0,508,0.008
00:52.1,509,0.008
00:52.2,510,0.008
00:52.3,511,0.008
00:52.4,512,0.008
00:52.5,513,0.008
00:52.6,514,0.008
00:52.7,515,0.008
00:52.8,516,0.008
00:52.9,517,0.008
00:53.0,518,0.008
00:53.1,519,0.008
00:53.2,520,0.008
00:53.3,521,0.008
00:53.4,522,0.008
00:53.5,523,0.008
00:53.6,524,0.008
00:53.7,525,0.008
00:53.8,526,0.008
00:53.9,527,0.008
00:54.0,528,0.008
00:54.1,529,0.008
00:54.2,530,0.008
00:54.3,531,0.008
00:54.4,532,0.008
00:54.5,533,0.008
00:54.6,534,0.008
00:54.7,535,0.008
00:54.8,536,0.008
00:54.9,537,0.008
00:55.0,538,0.008
00:55.1,539,0.008
00:55.2,540,0.007
00:55.3,541,0.007
00:55.4,542,0.007
00:55.5,543,0.006
00:55.6,544,0.006
00:55.7,545,0.005
00:55.8,546,0.004
00:55.9,547,0.003
00:56.0,548,0.003
00:56.1,549,0.002
00:56.2,550,0.002
00:56.3,551,0.002
00:56.4,552,0.001
00:56.5,553,0.001
00:56.6,554,0
00:56.7,555,0
00:56.8,556,0
00:56.9,557,0
00:57.0,558,0
00:57.1,559,0
00:57.2,560,0
00:57.3,561,0
00:57.4,562,0
00:57.5,563,0
00:57.6,564,0
00:57.7,565,0
00:57.8,566,0
00:57.9,567,0
00:58.0,568,0
00:58.1,569,0
00:58.2,570,0
00:58.3,571,0
00:58.4,572,0
00:58.5,573,0
00:58.6,574,0
00:58.7,575,0
00:58.8,576,0
00:58.9,577,0
00:59.0,578,0
00:59.1,579,0
00:59.2,580,0
00:59.3,581,0
00:59.4,582,0
00:59.5,583,0
00:59.6,584,0
00:59.7,585,0
00:59.8,586,0
00:59.9,587,0
01:00.0,588,0
01:00.1,589,0
01:00.2,590,0
01:00.3,591,0
01:00.4,592,0
01:00.5,593,0
01:00.6,594,0
01:00.7,595,0
01:00.8,596,0
01:00.9,597,0
01:01.0,598,0
01:01.1,599,0
01:01.2,600,0
01:01.3,601,0
Timestamp,ID,Weight
01:38.2,970,0.001
00:00:01:37.792,966,0.002
01:37.9,967,0.002
01:38.0,968,0.002
01:38.1,969,0.002
01:38.2,970,0.001
00:00:01:37.792,966,0.002
01:37.9,967,0.002
01:38.0,968,0.002
01:38.1,969,0.002
01:38.2,970,0.001
00:00:01:37.792,966,0.002
01:37.9,967,0.002
01:38.0,968,0.002
01:38.1,969,0.002
01:38.2,970,0.001
